"%1 (Default)","%1 (Default)"
"A4","A4"
"Add Template","Add Template"
"Application for Print PDF files returns the error. Error code: %1 %2","Application for Print PDF files returns the error. Error code: %1 %2"
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Back","Back"
"Can't create directory %1","Can't create directory %1"
"Can't delete temp file %1","Can't delete temp file %1"
"Data not found.","Data not found."
"Delete","Delete"
"Delete items","Delete items"
"Delete selected items?","Delete selected items?"
"Do not use","Do not use"
"Edit","Edit"
"Edit Template "%1"","Edit Template "%1""
"Enable Extension","Enable Extension"
"Enable PDF Print for Credit Memo","Enable PDF Print for Credit Memo"
"Enable PDF Print for Invoice","Enable PDF Print for Invoice"
"Enable PDF Print for Order","Enable PDF Print for Order"
"Enable PDF Print for Shipment","Enable PDF Print for Shipment"
"Error filtering template: %s","Error filtering template: %s"
"Error writing file %1","Error writing file %1"
"File is not readable %1","File is not readable %1"
"first credit memo will be used if empty","first credit memo will be used if empty"
"first invoice will be used if empty","first invoice will be used if empty"
"first order will be used if empty","first order will be used if empty"
"first shipment will be used if empty","first shipment will be used if empty"
"General Information","General Information"
"Id","Id"
"Landscape","Landscape"
"Letter","Letter"
"Load Default Template","Load Default Template"
"Load Template","Load Template"
"Margin Bottom","Margin Bottom"
"Margin Left","Margin Left"
"Margin Right","Margin Right"
"Margin Top","Margin Top"
"New Template","New Template"
"Page Format","Page Format"
"Page Orientation","Page Orientation"
"PDF Customizer","PDF Customizer"
"PDF Customizer for order is not enabled","PDF Customizer for order is not enabled"
"PDF Template","PDF Template"
"Portrait","Portrait"
"POTATOCOMMERCE","POTATOCOMMERCE"
"PotatoCommerce PDF Service","PotatoCommerce PDF Service"
"Print","Print"
"Print PDF Method","Print PDF Method"
"pt","pt"
"Reset","Reset"
"Save","Save"
"Save and Continue Edit","Save and Continue Edit"
"Self-hosted server applications","Self-hosted server applications"
"Something went wrong while saving the template.","Something went wrong while saving the template."
"Template","Template"
"Template for admin","Template for admin"
"Template for customer","Template for customer"
"Template was been successfully created.","Template was been successfully created."
"Template was been successfully deleted.","Template was been successfully deleted."
"This template no longer exists.","This template no longer exists."
"Title","Title"
"Use Credit Memo Increment Id","Use Credit Memo Increment Id"
"Use Invoice Increment Id","Use Invoice Increment Id"
"Use Order Increment Id","Use Order Increment Id"
"Use Shipment Increment Id","Use Shipment Increment Id"
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"Order <span class="""no-link""">#%increment_id</span>","Order <span class="""no-link""">#%increment_id</span>"
"Placed on <span class="""no-link""">%created_at</span>","Placed on <span class="""no-link""">%created_at</span>"
"Order Information","Order Information"
"Billing Info","Billing Info"
"Shipping Info","Shipping Info"
"Payment Method","Payment Method"
"Shipping Method","Shipping Method"
"Refund <span class="""no-link""">#%increment_id</span>","Refund <span class="""no-link""">#%increment_id</span>"
"Product Name","Product Name"
"Qty","Qty"
"Price","Price"
"Subtotal","Subtotal"
"Invoice <span class="""no-link""">#%increment_id</span>","Invoice <span class="""no-link""">#%increment_id</span>"
"Ordered:","Ordered:"
"Shipped:","Shipped:"
"Canceled:","Canceled:"
"Refunded:","Refunded:"
"Gift Message for this Order","Gift Message for this Order"
"From:","From:"
"To:","To:"
"Message:","Message:"
"Total Shipping Charges: ","Total Shipping Charges: "
"Shipment <span class="""no-link""">#%increment_id</span>","Shipment <span class="""no-link""">#%increment_id</span>"
